Name,Index No,Email,Phone,Academic Year,Dues Paid,Receipt No,Programme of Study,payment date,password,position
"Brand , Martin",324011020,Brand.Martin@htu.edu.gh,+233279271133,2024-2025, 150.00 , CSD58729124 ,BTech Information Communication Technology,04.09.2024,C4Oojo8E2p2oT,student
"Breecher , Maja",324011021,Breecher.Maja@htu.edu.gh,+233241382822,2024-2025, 150.00 , CSD60750624 ,BTech Information Communication Technology,04.09.2024,Jaechcutu7JvcK,student
"Bremer , Jannik",323010034,Bremer.Jannik@htu.edu.gh,+233244838530,2023-2024, 105.00 , CSD62772123 ,BTech Information Communication Technology,04.09.2023,O3ayggag0w5o5gM,student
"Brenner , Aileen",323010004,Brenner.Aileen@htu.edu.gh,+233248294239,2023-2024, 105.00 , CSD64793623 ,BTech Computer Science,04.09.2023,VqlpF2pY,student
"Brunke , Henning",323010005,Brunke.Henning@htu.edu.gh,+233507499481,2023-2024, 105.00 , CSD66815123 ,BTech Computer Science,04.09.2023,D0R7Qi3V9w1ZaZ=5q3GeB8lP,student
"Brunner , Lea",324011025,Brunner.Lea@htu.edu.gh,+233552056568,2024-2025, 150.00 , CSD68836624 ,BTech Information Communication Technology,04.09.2024,WD9MtxF2olbJ,student
"Brunner , Lena",324011026,Brunner.Lena@htu.edu.gh,+233546613655,2024-2025, 150.00 , CSD70858124 ,BTech Information Communication Technology,04.09.2024,asdFghjk,student
"Bullow , Hans",323010035,Bullow.Hans@htu.edu.gh,+233201170742,2023-2024, 105.00 , CSD72879623 ,BTech Information Communication Technology,04.09.2023,Y1vjq5YCirK,student
"Buth , Laura-Sophia",324011028,Buth.Laura-Sophia@htu.edu.gh,+233557278291,2024-2025, 150.00 , CSD74901124 ,BTech Information Communication Technology,04.09.2024,EU5v7vcrDK,student
"Constantine , Robert",323010036,Constantine.Robert@htu.edu.gh,+233200284916,2023-2024, 105.00 , CSD76922623 ,HND Computer Science,03.09.2023,NcawzqsF,student
"Dawido , Frank",324011030,Dawido.Frank@htu.edu.gh,+233248420030,2024-2025, 150.00 , CSD78944124 ,BTech Information Communication Technology,04.09.2024,QjD1OkQT,student
"Denke , Zoo",323010006,Denke.Zoo@htu.edu.gh,+233593990901,2023-2024, 105.00 , CSD80965623 ,BTech Computer Science,04.09.2023,IkFbvoikdKpE,student
"Duse , Sina",324011022,Duse.Sina@htu.edu.gh,+233243956177,2024-2025, 150.00 , CSD82987124 ,BTech Information Communication Technology,04.09.2024,BaAXwDB9htJ9oP,student
"Diet , Bastian",323010039,Diet.Bastian@htu.edu.gh,+233265132641,2023-2024, 105.00 , CSD85008623 ,BTech Information Communication Technology,04.09.2023,T6r1N,student
"Diet , Vivian",323010007,Diet.Vivian@htu.edu.gh,+233263070351,2023-2024, 105.00 , CSD87030123 ,BTech Computer Science,04.09.2023,U9ggPdwVbnD,student
"Dola , Paul",324011035,Dola.Paul@htu.edu.gh,+233249762743,2024-2025, 150.00 , CSD89051624 ,BTech Information Communication Technology,04.09.2024,PGsr7Bp1czaS,student
"Eingel , Nilas",324011036,Eingel.Nilas@htu.edu.gh,+233243218452,2024-2025, 150.00 , CSD91073124 ,BTech Information Communication Technology,04.09.2024,OqlkpsE,student
"Eliman , Vivian",323010008,Eliman.Vivian@htu.edu.gh,+233266741612,2023-2024, 105.00 , CSD93094623 ,BTech Computer Science,04.09.2023,Zeu1ug6FA,student
"Enders , Alice",324011038,Enders.Alice@htu.edu.gh,+233242986991,2024-2025, 150.00 , CSD95116124 ,HND Information Communication Technology,04.09.2024,Zx3t0qOG,student
"Ewe , Malt",324011039,Ewe.Malt@htu.edu.gh,+233243585578,2024-2025, 150.00 , CSD97137624 ,BTech Information Communication Technology,04.09.2024,IvxxgvoJ8zFV,student
"Fell , Vanessa",324011040,Fell.Vanessa@htu.edu.gh,+233207041287,2024-2025, 150.00 , CSD99159124 ,HND Information Communication Technology,04.09.2024,C5Jgi3lZqtrF,student
"Fischer , Anna",323010041,Fischer.Anna@htu.edu.gh,+233204969960,2023-2024, 105.00 , CSD101180623 ,BTech Information Communication Technology,04.09.2023,KwupkoRr1FjFK,student
"Fischer , Tobias",323010009,Fischer.Tobias@htu.edu.gh,+233209527047,2023-2024, 105.00 , CSD103202123 ,BTech Computer Science,04.09.2023,HzZggeJuag1O,student
"Flemig , Majack",324011043,Flemig.Majack@htu.edu.gh,+233244084134,2024-2025, 150.00 , CSD105223624 ,BTech Information Communication Technology,04.09.2024,G5bnFsxaFw1jMM,student
"Frame , Amanda",323010044,Frame.Amanda@htu.edu.gh,+233526641221,2023-2024, 105.00 , CSD107245123 ,BTech Information Communication Technology,04.09.2023,Z9Fpqa5dAjnortU,student
"Frank , Franiska",324011045,Frank.Franiska@htu.edu.gh,+233243198308,2024-2025, 150.00 , CSD109266624 ,BTech Information Communication Technology,04.09.2024,Neubrandenburg#0,student
"Frick , John",324011046,Frick.John@htu.edu.gh,+233257755395,2024-2025, 150.00 , CSD111288124 ,HND Information Communication Technology,04.09.2024,Aq7N1Eedgco4A,student
"Frolick , Flo",324011047,Frolick.Flo@htu.edu.gh,+233262312482,2024-2025, 150.00 , CSD113309624 ,BTech Information Communication Technology,04.09.2024,ZuWYCkja3S,student
"Fossen , Tom",323010048,Fossen.Tom@htu.edu.gh,+233246869569,2023-2024, 105.00 , CSD115331123 ,BTech Information Communication Technology,04.09.2023,LjKyehXqYG,student
"Grack , Frank",324011049,Grack.Frank@htu.edu.gh,+233241426656,2024-2025, 150.00 , CSD117352624 ,BTech Information Communication Technology,04.09.2024,Hk2FRn5JjF3dPC,student
"Grassler , Florian",324011050,Grassler.Florian@htu.edu.gh,+233255983743,2024-2025, 150.00 , CSD119374124 ,BTech Information Communication Technology,04.09.2024,GsHjWkttJ8pPkS,student
"Gorwen , Stephen",323010051,Gorwen.Stephen@htu.edu.gh,+233260540830,2023-2024, 105.00 , CSD121395623 ,BTech Information Communication Technology,04.09.2023,X0pxezohjMMbrBT,student
"Giesa  , Eric",324011052,Giesa.Eric@htu.edu.gh,+233265097917,2024-2025, 150.00 , CSD123417124 ,BTech Information Communication Technology,04.09.2024,QKh0pXQF,student
"Groos , Pascal Bastian",323010053,Groos.Pascal Bastian@htu.edu.gh,+233269655004,2023-2024, 105.00 , CSD125438623 ,BTech Information Communication Technology,04.09.2023,Itkxj1i9w3kR,student
"Gors , Victor",324010054,Gors.Victor@htu.edu.gh,+233242120911,2024-2025, 150.00 , CSD127460124 ,BTech Computer Science,04.09.2024,CpbTSt1Po8M,student
"Graber , Eva ",323010010,Graber.Eva@htu.edu.gh,+233248769178,2023-2024, 105.00 , CSD129481623 ,BTech Computer Science,04.09.2023,X9Mb8skzT,student
"Griner , Vivian",324011056,Griner.Vivian@htu.edu.gh,+233242332626,2024-2025, 150.00 , CSD131503124 ,HND Information Communication Technology,04.09.2024,Rpt9ssiRksy5QdeM,student
"Groth , Ola",323010057,Groth.Ola@htu.edu.gh,+233545788335,2023-2024, 105.00 , CSD133524623 ,BTech Information Communication Technology,04.09.2023,TFtat9qFob0l6O,student
"Gruwald , Tobia",324010058,Gruwald.Tobia@htu.edu.gh,+233552440439,2024-2025, 150.00 , CSD135546124 ,BTech Computer Science,04.09.2024,IConMt9dAjPdF,student
"Gowu , Ema",324011059,Gowu.Ema@htu.edu.gh,+233546997526,2024-2025, 150.00 , CSD137567624 ,BTech Information Communication Technology,04.09.2024,P6tqTiG,student
"Gussmann , Sarah Michelle",324010060,Gussmann.SarahMichelle@htu.edu.gh,+233541554613,2024-2025, 150.00 , CSD139589124 ,BTech Computer Science,04.09.2024,EUnsgg3b3zutYS,student
"Haner , Rose Marie",324010061,Haner.RoseMarie@htu.edu.gh,+233556111700,2024-2025, 150.00 , CSD141610624 ,BTech Computer Science,04.09.2024,V3cjbtzFbhqG,student
"Hagan , Paula",324010062,Hagan.Paula@htu.edu.gh,+233560668787,2024-2025, 150.00 , CSD143632124 ,BTech Computer Science,04.09.2024,OtFhB6x8G,lecturer
"Hamann , Sebastian",323010011,Hamann.Sebastian@htu.edu.gh,+233545225874,2023-2024, 105.00 , CSD145653623 ,BTech Computer Science,04.09.2023,Tyqt8ut8zd4J,student
"Hartman , Patrick",324010064,Hartman.Patrick@htu.edu.gh,+233569782961,2024-2025, 150.00 , CSD147675124 ,BTech Computer Science,04.09.2024,LhkuuF7MMYNQ,student
"Hat , Milian",324010065,Hat.Milian@htu.edu.gh,+233244340048,2024-2025, 150.00 , CSD149696624 ,BTech Computer Science,04.09.2024,FyywyuaoMhL,supervisor
"Hideman , Luisa",324010066,Hideman.Luisa@htu.edu.gh,+233248897135,2024-2025, 150.00 , CSD151718124 ,BTech Computer Science,04.09.2024,Kjlhzd7iV5kagubY,student
"Hello , Julius",324010067,Hello.Julius@htu.edu.gh,+233240345422,2024-2025, 150.00 , CSD153739624 ,BTech Computer Science,04.09.2024,Booht9FlbejFB,student
"Hike , Jule",324010068,Hike.ule@htu.edu.gh,+233203801130,2024-2025, 150.00 , CSD155761124 ,BTech Computer Science,04.09.2024,B9k8Q7Gw9E0x,student
"Hins , Jona",324010069,Hins.Jona@htu.edu.gh,+233207256839,2024-2025, 150.00 , CSD157782624 ,BTech Computer Science,04.09.2024,YbdikgJ,student
"Hissen , Robert",323010012,Hissen.Robert@htu.edu.gh,+233240712548,2023-2024, 105.00 , CSD159804123 ,BTech Computer Science,04.09.2023,XZ1xvtuV,student
"Hoffman , Sam",323010013,Hoffman.Sam@htu.edu.gh,+233241682570,2023-2024, 105.00 , CSD161825623 ,BTech Computer Science,04.09.2023,YaO5z1NlMRs8rCJ-6jzYxNc8zM,lecturer
"Hoffman , Paul",324011072,Hoffman.Paul@htu.edu.gh,+233546239657,2024-2025, 150.00 , CSD163847124 ,HND Information Communication Technology,04.09.2024,Cbq3qgFet6s0D,student
"Hot , Rita",323010014,Hot.Rita@htu.edu.gh,+233240796744,2023-2024, 105.00 , CSD165868623 ,BTech Computer Science,04.09.2023,D4zbeF3n9V5T,student
"Hosen , Joan",324010074,Hose.Joan@htu.edu.gh,+233545353831,2024-2025, 150.00 , CSD167890124 ,BTech Computer Science,04.09.2024,Xgep6sphC,student
"Homann , Rudi",324011075,Homann.Rudi@htu.edu.gh,+233599109181,2024-2025, 150.00 , CSD169911624 ,HND Information Communication Technology,04.09.2024,D7iq9e9tQ,student
"Hoseman , Felix",323010015,Hoseman.Felix@htu.edu.gh,+233544468005,2023-2024, 105.00 , CSD171933123 ,BTech Computer Science,04.09.2023,F3Kh3rjqxzpaY,student
"Jabs , Min",324010077,Jabs.Min@htu.edu.gh,+233549025092,2024-2025, 150.00 , CSD173954624 ,BTech Computer Science,04.09.2024,Mxy4uAMjIsluG,student
"Jean , Richard",323010016,Jean.Richard@htu.edu.gh,+233593582179,2023-2024, 105.00 , CSD175976123 ,BTech Computer Science,04.09.2023,NdttBc6Z,student
"John , Henry",324011079,John.Henry@htu.edu.gh,+233548139266,2024-2025, 150.00 , CSD177997624 ,BTech Information Communication Technology,04.09.2024,QMxztt1lB,administrator
"Janick , Gina Maria",324011080,Janick.GinaMaria@htu.edu.gh,+233242696353,2024-2025, 150.00 , CSD180019124 ,BTech Information Communication Technology,04.09.2024,DeaNji4OsR,student
"Jarke , Tom",324011081,Jarke.Tom@htu.edu.gh,+233244725344,2024-2025, 150.00 , CSD182040624 ,BTech Information Communication Technology,04.09.2024,GxbjxpB,student
"Kazol , Tom",324011082,Kazol.Tom@htu.edu.gh,+233541810527,2024-2025, 150.00 , CSD184062124 ,BTech Information Communication Technology,04.09.2024,L9j3aR,student
"Karp , Till",324011083,Karp.ill@htu.edu.gh,+233546367614,2024-2025, 150.00 , CSD186083624 ,BTech Information Communication Technology,04.09.2024,GpJrLiR,student
"Karso , Frank",324011084,Karso.Frank@htu.edu.gh,+233540924701,2024-2025, 150.00 , CSD188105124 ,BTech Information Communication Technology,04.09.2024,2o1s9d2KpsZMPM,student
"Kelm , Danny",324011085,Kelm.Danny@htu.edu.gh,+233545481788,2024-2025, 150.00 , CSD190126624 ,BTech Information Communication Technology,04.09.2024,E3rWyg8i6MIRZ,student
"Kindler , Oliver",324010086,Kindle.Oliver@htu.edu.gh,+233540038875,2024-2025, 150.00 , CSD192148124 ,BTech Computer Science,04.09.2024,Uus1Hs3Fi7bxMsB,student
"Kike , Nora",324011087,Kike.Nora@htu.edu.gh,+233544459596,2024-2025, 150.00 , CSD194169624 ,HND Information Communication Technology,04.09.2024,O2nqrlnlurvzH,student
"Kloster , Milian",323010088,Kloster.Milian@htu.edu.gh,+233549153049,2023-2024, 105.00 , CSD196191123 ,BTech Information Communication Technology,04.09.2023,Te4p5nUD,student
"Kluge , Soren",324010089,Kluge.Soren@htu.edu.gh,+233543710136,2024-2025, 150.00 , CSD198212624 ,BTech Computer Science,04.09.2024,TMxi0rtgvI,student
"Klu , Philipp",323010017,Klu.Philipp@htu.edu.gh,+233548267223,2023-2024, 105.00 , CSD200234123 ,BTech Computer Science,04.09.2023,Fgysnk5pgr5kS,student
"Komied , Lukas",323010091,Komied.Lukas@htu.edu.gh,+233542824310,2023-2024, 105.00 , CSD202255623 ,HND Computer Science,03.09.2023,QYn6bgtY,student
"Koke , Marie",324011092,Koke.Marie@htu.edu.gh,+233543813978,2024-2025, 150.00 , CSD204277124 ,HND Information Communication Technology,04.09.2024,U3x7wqnwrzeC,student
"Koke , Nicolas",324011093,Koke.Nicolas@htu.edu.gh,+233541938484,2024-2025, 150.00 , CSD206298624 ,HND Information Communication Technology,04.09.2024,5VaV,lecturer
"Krassman , Paul Eric",324011094,Krassman.PaulEric@htu.edu.gh,+233546495571,2024-2025, 150.00 , CSD208320124 ,HND Information Communication Technology,04.09.2024,GpbbzzFjFF,lecturer
"Krause , Jenet",324010095,Krause.Jenet@htu.edu.gh,+233541052658,2024-2025, 150.00 , CSD210341624 ,BTech Computer Science,04.09.2024,AA5lPsEOd9saA,student
"Kroos , Nico",324010096,Kroos.Nico@htu.edu.gh,+233545609745,2024-2025, 150.00 , CSD212363124 ,BTech Computer Science,04.09.2024,RwFR9n1ioeueplM,student
"Kremann , Monica",324010097,Kremann.Monica@htu.edu.gh,+233540166832,2024-2025, 150.00 , CSD214384624 ,BTech Computer Science,04.09.2024,Wak2rsE0K,student
"Krossberg , Fredrick",323010098,Krossberg.Fredrick@htu.edu.gh,+233544723919,2023-2024, 105.00 , CSD216406123 ,BTech Information Communication Technology,04.09.2023,Wpr2a7Z,student
"Kottoh , Michelle",324010099,Kottoh.Michelle@htu.edu.gh,+233549281006,2024-2025, 150.00 , CSD218427624 ,BTech Computer Science,04.09.2024,Qe1hY)9MH1t0hCDczw,student
"Kurt , Johanna",324010100,Kurt.Johanna@htu.edu.gh,+233543838093,2024-2025, 150.00 , CSD220449124 ,BTech Computer Science,04.09.2024,KooCWFdAGqc4iP,lecturer
"Kurus , Marvin ",324010101,Kurus.Marvin@htu.edu.gh,+233548395180,2024-2025, 150.00 , CSD222470624 ,BTech Computer Science,04.09.2024,OroFz4iq0IBN,student
"Kossner , Malt",324010102,Kossner.Malt@htu.edu.gh,+233542952267,2024-2025, 150.00 , CSD224492124 ,BTech Computer Science,04.09.2024,CMd3b9rR,student
"Labes , Lucy",324010021,Labes.Lucy@htu.edu.gh,+233247509354,2024-2025, 150.00 , CSD226513624 ,BTech Computer Science,04.09.2024,N4tia4nYyrdq7E,student
"Labs , Leon",324010031,Labs.Leon@htu.edu.gh,+233542066441,2024-2025, 150.00 , CSD228535124 ,BTech Computer Science,04.09.2024,T3qxVtl7Q,student
"Langer , Nell",323010018,Langer.Nell@htu.edu.gh,+233266623528,2023-2024, 105.00 , CSD230556623 ,BTech Computer Science,04.09.2023,U6saujAzh5qyS,student
"Langans , Moriss",324011106,Langans.Moriss@htu.edu.gh,+233244118061,2024-2025, 150.00 , CSD232578124 ,HND Information Communication Technology,04.09.2024,EMuvcrqvwiqSwceO,student
"Lasker , Morit",324011107,Lasker.Morit@htu.edu.gh,+233245737702,2024-2025, 150.00 , CSD234599624 ,HND Information Communication Technology,04.09.2024,WL5ax2qL,student
"Leman , Lucas",323010108,Leman.Lucas@htu.edu.gh,+233242029478,2023-2024, 105.00 , CSD236621123 ,BTech Information Communication Technology,04.09.2023,A6dkpiPI,student
"Lera , Laura ",324010121,Lera.Laura@htu.edu.gh,+233245485180,2024-2025, 150.00 , CSD238642624 ,BTech Computer Science,04.09.2024,Z5wEnlvABwX,student
"Lehage , Christian",324011110,Lehage.Christian@htu.edu.gh,+233259408963,2024-2025, 150.00 , CSD240664124 ,BTech Information Communication Technology,04.09.2024,T0kzXb7Y,student
"Lever , Florian",323010019,Lever.Florian@htu.edu.gh,+233243966050,2023-2024, 105.00 , CSD242685623 ,BTech Computer Science,04.09.2023,HbNx0FxiwdhQ,student
"Libu , Cecilia",324011112,Libu.Cecilia@htu.edu.gh,+233268523137,2024-2025, 150.00 , CSD244707124 ,BTech Information Communication Technology,04.09.2024,NDZk5gbnN,student
"Lipper , Hans",323010113,Lipper.Hans@htu.edu.gh,+233266308022,2023-2024, 105.00 , CSD246728623 ,HND Information Communication Technology,03.09.2023,Y8i0iele4pzpq5U,student
"Labs , Hans",323010114,Labs.Hans@htu.edu.gh,+233247637311,2023-2024, 105.00 , CSD248750123 ,HND Information Communication Technology,03.09.2023,O5tdbt3T1FuowL,student
"Lucas , Jacob",323010115,Lucas.Jacob@htu.edu.gh,+233502194398,2023-2024, 105.00 , CSD250771623 ,HND Computer Science,03.09.2023,AnwL1yzO61cl1Wj)1tHdG,student
"Macho , Sophia",323010116,Macho.Sophia@htu.edu.gh,+233506751485,2023-2024, 105.00 , CSD252793123 ,BTech Information Communication Technology,04.09.2023,JsrMidZH,student
"Manja , McMilian",323010117,Manja.McMilian@htu.edu.gh,+233501308572,2023-2024, 105.00 , CSD254814623 ,HND Information Communication Technology,03.09.2023,JX3HMdFYWDFoD,student
"Manteu , Florian",323010118,Manteu.Florian@htu.edu.gh,+233505865659,2023-2024, 105.00 , CSD256836123 ,BTech Information Communication Technology,04.09.2023,N0ekr5qqiZML,student
"Markus , Sophia",323010119,Markus.Sophia@htu.edu.gh,+233500422746,2023-2024, 105.00 , CSD258857623 ,BTech Information Communication Technology,04.09.2023,SexwMeh8EIojzC,student
"Mart , Janike",323010120,Mart.Janike@htu.edu.gh,+233554979833,2023-2024, 105.00 , CSD260879123 ,HND Information Communication Technology,03.09.2023,K2vxgaHxr0n7gRcL,administrator
"Matz , Jennifer",323010121,Matz.Jennifer@htu.edu.gh,+233559536920,2023-2024, 105.00 , CSD262900623 ,HND Information Communication Technology,03.09.2023,Ye6naIKF8rnjsV,student
"Mehel , Pepe",323010122,Mehel.Pepe@htu.edu.gh,+233544094007,2023-2024, 105.00 , CSD264922123 ,BTech Information Communication Technology,04.09.2023,F1Vb3rs2QJFyJ,student
"Meler , Marvin",323010123,Meler.Marvin@htu.edu.gh,+233548651094,2023-2024, 105.00 , CSD266943623 ,BTech Information Communication Technology,04.09.2023,JgxqVko0kFkgA4C,lecturer
"Meler , Maxi",323010124,Meler.Maxi@htu.edu.gh,+233553208181,2023-2024, 105.00 , CSD268965123 ,BTech Information Communication Technology,04.09.2023,Jen2Vx9k0uMC,student
"Meteder , Joe",323010125,Meteder.Joe@htu.edu.gh,+233547765268,2023-2024, 105.00 , CSD270986623 ,HND Information Communication Technology,03.09.2023,RpcvgnGiyPlE,student
"Mens , Marten",323010126,Mens.Marten@htu.edu.gh,+233242322355,2023-2024, 105.00 , CSD273008123 ,BTech Information Communication Technology,04.09.2023,Xzn9iy,student
"Meyer , Robert",324010127,Meyer.Robert@htu.edu.gh,+233246879442,2024-2025, 150.00 , CSD275029624 ,BTech Computer Science,04.09.2024,On1eudLarsS,student
"Miner , Uke",324010128,Miner.Uke@htu.edu.gh,+233514365291,2024-2025, 150.00 , CSD277051124 ,BTech Computer Science,04.09.2024,ZyOpzT3rjoSpK,student
"Milo , Foster",324010129,Milo.Foster@htu.edu.gh,+233559936166,2024-2025, 150.00 , CSD279072624 ,BTech Computer Science,04.09.2024,WgP01de0p+,student
"Minks , Pete",324010130,Minks.Pete@htu.edu.gh,+233250550703,2024-2025, 150.00 , CSD281094124 ,BTech Computer Science,04.09.2024,LPPgeF3eVz9uD,student
"Mor , Marius",323010131,Mor.Marius@htu.edu.gh,+233545107790,2023-2024, 105.00 , CSD283115623 ,HND Information Communication Technology,03.09.2023,LrUqwT6k3ohZ,student
"Muller , Felix",324010132,Muller.Felix@htu.edu.gh,+233559664877,2024-2025, 150.00 , CSD285137124 ,BTech Computer Science,04.09.2024,Zp2l5eAqvuA,student
"Muller , Francis",324010133,Muller.Francis@htu.edu.gh,+233544221964,2024-2025, 150.00 , CSD287158624 ,BTech Computer Science,04.09.2024,H6D4M3=Y5A4p56wD0wtcebk4GS,student
"Muller , Len Malt",323010134,Muller.LenMalt@htu.edu.gh,+233244779051,2023-2024, 105.00 , CSD289180123 ,HND Information Communication Technology,03.09.2023,LOeMikuvclMR,student
"Muller , Sara",323010135,Muller.Sara@htu.edu.gh,+233543336138,2023-2024, 105.00 , CSD291201623 ,HND Information Communication Technology,03.09.2023,VUxs0zrNjr9wl4aP,lecturer
"Muller , ThoMas",324010136,Muller.ThoMas@htu.edu.gh,+233547893225,2024-2025, 150.00 , CSD293223124 ,BTech Computer Science,04.09.2024,D0n0dq4kbFto2TkS,student
"Mundti, Julian",323010137,Mundti.Julian@htu.edu.gh,+233562450312,2023-2024, 105.00 , CSD295244623 ,HND Information Communication Technology,03.09.2023,Berlin,student
"Munke , Thorn",324010138,Munke.Thorn@htu.edu.gh,+233547007399,2024-2025, 150.00 , CSD297266124 ,BTech Computer Science,04.09.2024,YdqdH5SNlx6bO,student
"Nagel , Till",324010139,Nagel.Till@htu.edu.gh,+233541564486,2024-2025, 150.00 , CSD299287624 ,BTech Computer Science,04.09.2024,JcC0v7MlzcF,student
"Nebel , Nico",324011140,Nebel.Nico@htu.edu.gh,+233546121573,2024-2025, 150.00 , CSD301309124 ,HND Information Communication Technology,04.09.2024,MwVMz1nK,student
"Pack , Marie",324011141,Pack.Marie@htu.edu.gh,+233540678660,2024-2025, 150.00 , CSD303330624 ,HND Information Communication Technology,04.09.2024,Uy6Grpy1u7vsS,student
"Petersen , Sandra",324011142,Petersen.Sandra@htu.edu.gh,+233545235747,2024-2025, 150.00 , CSD305352124 ,HND Information Communication Technology,04.09.2024,Qqkhdz1dFg4P,student
"Poke , Markus",323010020,Poke.Markus@htu.edu.gh,+233549792834,2023-2024, 105.00 , CSD307373623 ,BTech Computer Science,04.09.2023,Xoxovlxwv2K,student
"Rogger , Jonas",323010144,Rogger.Jonas@htu.edu.gh,+233554349921,2023-2024, 105.00 , CSD309395123 ,HND Information Communication Technology,03.09.2023,XSFlbwO,student
"Roho , Ibrahim",323010145,Roho.Ibrahim@htu.edu.gh,+233558907008,2023-2024, 105.00 , CSD311416623 ,HND Computer Science,03.09.2023,Cvrde0Na0G,student
"Rosco , Luise",323010146,Rosco.Luise@htu.edu.gh,+233543464095,2023-2024, 105.00 , CSD313438123 ,HND Information Communication Technology,03.09.2023,Ebxgz0FtvuD,student
"Rossa , Malik",323010147,Rossa.Malik@htu.edu.gh,+233548021182,2023-2024, 105.00 , CSD315459623 ,HND Information Communication Technology,03.09.2023,1o7xMu5RsuP0Vx6A,student
"Salomon , Adrian",323010148,Salomon.Adrian@htu.edu.gh,+233542578269,2023-2024, 105.00 , CSD317481123 ,HND Information Communication Technology,03.09.2023,K1lMdF4NoIA7I,administrator
"Sming ,  Michelle",323010149,Sming.Michelle@htu.edu.gh,+233547135356,2023-2024, 105.00 , CSD319502623 ,HND Computer Science,03.09.2023,B1vkxpR1gF53nR1pK,student
"Schell , Susan",324011150,Schell.Susan@htu.edu.gh,+233541692443,2024-2025, 150.00 , CSD321524124 ,HND Information Communication Technology,04.09.2024,Xryu9FM,student
"Slaack , Julian",323010151,Slaack.Julian@htu.edu.gh,+233546249530,2023-2024, 105.00 , CSD323545623 ,HND Information Communication Technology,03.09.2023,MzbrJ3uS9FbUFqM,student
"Smitt , Christian",323010152,Smitt.Christian@htu.edu.gh,+233540806617,2023-2024, 105.00 , CSD325567123 ,HND Computer Science,03.09.2023,Pt0Jnq0nvuGhKjE,student
